trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
27,0,27,0,56.42022367034588,57.42179884762663,57.42179884762663,up,1,0.3086310338403564,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
28,0,28,0,57.75626501255829,58.760069527565065,58.743276894008886,up,0,0.5872104038462567,4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
29,0,29,0,59.361754949146416,60.365660591858614,60.34894584173526,down,0,0.5807865302231221,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
30,0,30,0,60.95254997293887,61.95446234321207,61.95446234321207,up,0,0.4323385990683164,3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
31,0,31,0,62.407558254843025,63.409675597402384,63.409675597402384,down,1,0.40044593813217944,2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
32,0,32,0,63.828831540253304,64.83093107225795,64.83093107225795,up,1,0.3550051828206051,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
33,0,33,0,65.21559129673915,66.21913318157021,66.2023622829256,down,0,0.31160690537217306,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
34,0,34,0,66.53681395791864,67.5403540315092,67.52356713355402,up,0,0.4305424501908419,2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
35,0,35,0,67.97532061257516,68.97872997482773,68.9620300165152,up,1,0.25586802859106683,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
36,0,36,0,69.24633049803379,70.24961428080132,70.23295839605998,up,0,0.16979325385182165,1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
37,0,37,0,70.4335752449042,71.43714067589099,71.42037702221569,down,1,0.26231333525356604,4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
38,0,38,0,71.70468414495554,72.70817259813339,72.691318684203,up,1,0.17511921261393582,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
39,0,39,0,72.89208828116898,73.89557975308708,73.87896190443644,down,0,0.12266804296086775,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
40,0,40,0,74.0294191073408,75.03310770282405,75.01644155437316,up,1,0.20143113333688234,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
41,0,41,0,75.25053559951994,76.25405122133452,76.23731715128815,down,0,0.22941422720032278,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
42,0,42,0,76.48822616865073,77.4916922831726,77.47496153373504,up,1,0.17476964279921958,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
43,0,43,0,77.67561309806115,78.67911875804202,78.66240098917842,down,1,0.17197278240928426,1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
44,0,44,0,78.86309149521912,79.8665956458317,79.84984497273035,up,1,0.16849157420074334,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
45,0,45,0,80.05058558981546,81.05427327967482,81.03763792234895,down,1,0.18056410963617964,1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
46,0,46,0,81.23963644739342,82.24187272821291,82.24187272821291,down,0,0.2722775843431009,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
47,0,47,0,82.54404926821371,83.54609959479421,83.54609959479421,down,1,0.360060058941599,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
48,0,48,0,83.93075710241101,84.9342881197881,84.91753171108212,up,1,0.2844636243098648,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
49,0,49,0,85.21860580811335,86.2220876200663,86.20538675613352,down,0,0.4206509526775335,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
50,0,50,0,86.65682960705453,87.6604312628915,87.6436618736152,up,1,0.08646945470172795,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
51,0,51,0,87.76077621403965,88.76426828970216,88.74759670752246,down,0,0.13451236183027504,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
52,0,52,0,88.91472368136237,89.91830209291948,89.90148108323046,up,0,0.21341159727671766,3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
53,0,53,0,90.13564033311195,91.1391315031542,91.12238596190582,down,1,0.2720638577193313,1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
54,0,54,0,91.42336617619367,92.4269633039221,92.41021504580931,down,0,0.3766718701153877,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
55,0,55,0,92.81153357002404,93.81499153394907,93.79836070473175,down,1,0.3156103551846172,3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
56,0,56,0,94.13279849353057,95.13664376149245,95.11995587812999,down,1,0.4180065385371563,-4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
57,0,57,0,95.55593403816965,96.55837287627946,96.55837287627946,up,1,0.5799135113047669,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
58,0,58,0,97.16183482494307,98.16400016542684,98.16400016542684,down,1,0.49430664089959464,-1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
59,0,59,0,98.68369697549497,99.68592208698465,99.68592208698465,up,0,0.25220962048479123,4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
60,0,60,0,99.97076533752625,100.97338439427404,100.97338439427404,up,1,0.03715897965230397,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
61,0,61,0,101.04030920325386,102.04387855860114,102.0270753594632,up,0,0.023256787353602704,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
62,0,62,0,102.07722836417815,103.08073945788783,103.06400780283366,up,0,0.07411647854314651,-1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
63,0,63,0,103.16442007182923,104.16786897954444,104.15118441679442,down,1,0.34698137826489983,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
64,0,64,0,104.5190571395724,105.52246167184421,105.505740884244,up,0,0.2722615850325383,-2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
65,0,65,0,105.80684124428808,106.81032637685348,106.79363185226975,down,0,0.16915811146463966,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
66,0,66,0,106.99427798286706,107.99791737292617,107.98107583582168,up,0,0.13362123049228103,1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
67,0,67,0,108.13155960361473,109.13503175560982,109.11834115538659,up,0,0.22854000078950776,-3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
68,0,68,0,109.36924836150502,110.37273922967142,110.3559511242238,up,0,0.2217179556719202,-1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
69,0,69,0,110.60691296949153,111.61034467040372,111.59369089877873,up,0,0.16883420091471635,-3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
70,0,70,0,111.79431076635956,112.79784902870597,112.78102409465646,up,1,0.08525773342626053,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
71,0,71,0,112.89815594375978,113.90153572238341,113.88488949759994,down,1,0.3094620923002367,-4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
